"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHCOMP_15","C2021_HHCOMP_15_NAME","C2021_HHCOMP_15_CODE","C2021_HHCOMP_15_TYPE","C2021_HHCOMP_15_TYPECODE","C2021_HHCOMP_15_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"2","One-person household: Other","_2","Household composition",1000000,3,"20100","Value",150,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d2d20100",69,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"1002","Single family household","1002","Household composition",1000000,4,"20100","Value",512,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d3a4a5a6a7a8a9a10a11a12d20100",70,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"3","Single family household: All aged 66 years and over","_3","Household composition",1000000,5,"20100","Value",142,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d3d20100",71,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"1003","Single family household: Married or civil partnership couple","1003","Household composition",1000000,6,"20100","Value",279,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d4a5a6d20100",72,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"4","Single family household: Married or civil partnership couple: No children","_4","Household composition",1000000,7,"20100","Value",118,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d4d20100",73,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"5","Single family household: Married or civil partnership couple: Dependent children","_5","Household composition",1000000,8,"20100","Value",122,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d5d20100",74,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"6","Single family household: Married or civil partnership couple: All children non-dependent","_6","Household composition",1000000,9,"20100","Value",39,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d6d20100",75,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"1004","Single family household: Cohabiting couple family","1004","Household composition",1000000,10,"20100","Value",57,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d7a8a9d20100",76,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"7","Single family household: Cohabiting couple family: No children","_7","Household composition",1000000,11,"20100","Value",34,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d7d20100",77,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"8","Single family household: Cohabiting couple family: With dependent children","_8","Household composition",1000000,12,"20100","Value",21,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d8d20100",78,6908
